,index,sample_size_method,num_trees,max_depth,feat_choice,fold_num,auc
334,4,half,300,1000,sqrt,5,0.7136142152266474
335,0,half,300,1000,half_sqrt,1,0.6409440709281218
336,1,half,300,1000,half_sqrt,2,0.6700262208283598
337,2,half,300,1000,half_sqrt,3,0.6771227545495482
338,3,half,300,1000,half_sqrt,4,0.6507245430083614
339,4,half,300,1000,half_sqrt,5,0.6830439945076615
340,0,half,300,1000,2sqrt,1,0.7436186656640347
341,1,half,300,1000,2sqrt,2,0.7253817146865276
342,2,half,300,1000,2sqrt,3,0.7287556439609449
343,3,half,300,1000,2sqrt,4,0.714906736709741
344,4,half,300,1000,2sqrt,5,0.7265451729263338
345,0,half,300,3000,sqrt,1,0.6880437660956785
346,1,half,300,3000,sqrt,2,0.6975082295937911
347,2,half,300,3000,sqrt,3,0.7111671387662764
348,3,half,300,3000,sqrt,4,0.6940872600313758
349,4,half,300,3000,sqrt,5,0.7136142152266474
350,0,half,300,3000,half_sqrt,1,0.6409440709281218
351,1,half,300,3000,half_sqrt,2,0.6700262208283598
352,2,half,300,3000,half_sqrt,3,0.6771227545495482
353,3,half,300,3000,half_sqrt,4,0.6507245430083614
354,4,half,300,3000,half_sqrt,5,0.6830439945076615
355,0,half,300,3000,2sqrt,1,0.7436186656640347
356,1,half,300,3000,2sqrt,2,0.7253817146865276
357,2,half,300,3000,2sqrt,3,0.7287556439609449
358,3,half,300,3000,2sqrt,4,0.714906736709741
359,4,half,300,3000,2sqrt,5,0.7265451729263338
360,0,full,50,100,sqrt,1,0.7017471602203095
361,1,full,50,100,sqrt,2,0.6936039522937919
362,2,full,50,100,sqrt,3,0.6712153862902813
363,3,full,50,100,sqrt,4,0.7143045618635205
364,4,full,50,100,sqrt,5,0.7108539803135754
365,0,full,50,100,half_sqrt,1,0.6420278760981447
366,1,full,50,100,half_sqrt,2,0.6285148013089189
367,2,full,50,100,half_sqrt,3,0.6131659671682922
368,3,full,50,100,half_sqrt,4,0.6535374650256344
369,4,full,50,100,half_sqrt,5,0.6665023148299247
370,0,full,50,100,2sqrt,1,0.7204098931738825
371,1,full,50,100,2sqrt,2,0.7249856691701613
372,2,full,50,100,2sqrt,3,0.7208361084071929
373,3,full,50,100,2sqrt,4,0.7307122101642649
374,4,full,50,100,2sqrt,5,0.7211044224443013
375,0,full,50,500,sqrt,1,0.7017471602203095
376,1,full,50,500,sqrt,2,0.6936039522937919
377,2,full,50,500,sqrt,3,0.6712153862902813
378,3,full,50,500,sqrt,4,0.7143045618635205
379,4,full,50,500,sqrt,5,0.7108539803135754
380,0,full,50,500,half_sqrt,1,0.6420278760981447
381,1,full,50,500,half_sqrt,2,0.6285148013089189
382,2,full,50,500,half_sqrt,3,0.6131659671682922
383,3,full,50,500,half_sqrt,4,0.6535374650256344
384,4,full,50,500,half_sqrt,5,0.6665023148299247
385,0,full,50,500,2sqrt,1,0.7204098931738825
386,1,full,50,500,2sqrt,2,0.7249856691701613
387,2,full,50,500,2sqrt,3,0.7208361084071929
388,3,full,50,500,2sqrt,4,0.7307122101642649
389,4,full,50,500,2sqrt,5,0.7211044224443013
390,0,full,50,1000,sqrt,1,0.7017471602203095
391,1,full,50,1000,sqrt,2,0.6936039522937919
392,2,full,50,1000,sqrt,3,0.6712153862902813
393,3,full,50,1000,sqrt,4,0.7143045618635205
394,4,full,50,1000,sqrt,5,0.7108539803135754
395,0,full,50,1000,half_sqrt,1,0.6420278760981447
396,1,full,50,1000,half_sqrt,2,0.6285148013089189
397,2,full,50,1000,half_sqrt,3,0.6131659671682922
398,3,full,50,1000,half_sqrt,4,0.6535374650256344
399,4,full,50,1000,half_sqrt,5,0.6665023148299247
400,0,full,50,1000,2sqrt,1,0.7204098931738825
401,1,full,50,1000,2sqrt,2,0.7249856691701613
402,2,full,50,1000,2sqrt,3,0.7208361084071929
403,3,full,50,1000,2sqrt,4,0.7307122101642649
404,4,full,50,1000,2sqrt,5,0.7211044224443013
405,0,full,50,3000,sqrt,1,0.7017471602203095
406,1,full,50,3000,sqrt,2,0.6936039522937919
407,2,full,50,3000,sqrt,3,0.6712153862902813
408,3,full,50,3000,sqrt,4,0.7143045618635205
409,4,full,50,3000,sqrt,5,0.7108539803135754
410,0,full,50,3000,half_sqrt,1,0.6420278760981447
411,1,full,50,3000,half_sqrt,2,0.6285148013089189
412,2,full,50,3000,half_sqrt,3,0.6131659671682922
413,3,full,50,3000,half_sqrt,4,0.6535374650256344
414,4,full,50,3000,half_sqrt,5,0.6665023148299247
415,0,full,50,3000,2sqrt,1,0.7204098931738825
416,1,full,50,3000,2sqrt,2,0.7249856691701613
417,2,full,50,3000,2sqrt,3,0.7208361084071929
418,3,full,50,3000,2sqrt,4,0.7307122101642649
419,4,full,50,3000,2sqrt,5,0.7211044224443013
420,0,full,100,100,sqrt,1,0.6941936039765675
421,1,full,100,100,sqrt,2,0.694607657842952
422,2,full,100,100,sqrt,3,0.7015836121889332
423,3,full,100,100,sqrt,4,0.7149535924199296
424,4,full,100,100,sqrt,5,0.711160666062911
425,0,full,100,100,half_sqrt,1,0.6420597768739715
426,1,full,100,100,half_sqrt,2,0.6641195437986881
427,2,full,100,100,half_sqrt,3,0.6708335889322414
428,3,full,100,100,half_sqrt,4,0.6779229876599117
429,4,full,100,100,half_sqrt,5,0.686414147677874
430,0,full,100,100,2sqrt,1,0.7211971790533483
431,1,full,100,100,2sqrt,2,0.7434559947928933
432,2,full,100,100,2sqrt,3,0.7393487511156471
433,3,full,100,100,2sqrt,4,0.7354545976802359
434,4,full,100,100,2sqrt,5,0.734903786163493
435,0,full,100,500,sqrt,1,0.6941936039765675
