,threshold,tpr,fpr,accuracy,f1-measure,precision,recall,learning_rate
72,0.72,0.5404007756948933,0.08273824181236149,0.8747997086671522,0.4930698908876437,0.45336225596529284,0.5404007756948933,1.0
73,0.73,0.519715578539108,0.07691044898629237,0.8776402039329935,0.48905109489051096,0.4618035611717404,0.519715578539108,1.0
74,0.74,0.5067873303167421,0.07124681933842239,0.8812090313182811,0.49015317286652077,0.4745762711864407,0.5067873303167421,1.0
75,0.75,0.49256625727213965,0.06632192399244849,0.8839766933721777,0.4889316650625602,0.4853503184713376,0.49256625727213965,1.0
76,0.76,0.4783451842275372,0.061068702290076333,0.8870356882738529,0.488287693830419,0.49865229110512127,0.4783451842275372,1.0
77,0.77,0.46929541047188106,0.057621275547894604,0.889075018208303,0.48806722689075627,0.5084033613445378,0.46929541047188106,1.0
78,0.78,0.4563671622495152,0.05286054338011984,0.8918426802621996,0.48740075940628236,0.522962962962963,0.4563671622495152,1.0
79,0.79,0.4466709760827408,0.04834605597964377,0.8947560087399854,0.48885744605588966,0.53984375,0.4466709760827408,1.0
80,0.8,0.4376212023270847,0.044406139702864646,0.8972323379461035,0.4896925858951176,0.5558292282430214,0.4376212023270847,1.0
81,0.81,0.4234001292824822,0.04120495772798161,0.8984705025491624,0.4844674556213017,0.5661192739844425,0.4234001292824822,1.0
82,0.82,0.4137039431157078,0.03890667323319379,0.8994173343044428,0.48102217211574594,0.5745062836624776,0.4137039431157078,1.0
83,0.83,0.40271493212669685,0.03767544939670032,0.8992716678805536,0.47394446557626474,0.5757855822550831,0.40271493212669685,1.0
84,0.84,0.394311570782159,0.03554132808011163,0.9002184996358339,0.47104247104247104,0.5848513902205177,0.394311570782159,1.0
85,0.85,0.37944408532643825,0.032914717228925555,0.9008739985433357,0.4631163708086785,0.5941295546558705,0.37944408532643825,1.0
86,0.86,0.37168713639301876,0.031191003857834687,0.9015294974508375,0.4596322941646683,0.6020942408376964,0.37168713639301876,1.0
